,age,job,marital,education,balance,housing,duration,campaign,approval
0,30.0,10,1,1,1787,1,79.0,1,1
1,33.0,7,1,2,4789,2,220.0,1,1
2,35.0,4,2,3,1350,2,185.0,1,1
3,30.0,4,1,3,1476,2,199.0,4,1
4,59.0,1,1,2,0,2,226.0,1,1
5,35.0,4,2,3,747,1,141.0,2,1
6,36.0,6,1,3,307,2,341.0,1,1
7,39.0,9,1,2,147,2,151.0,2,1
8,41.0,2,1,3,221,2,57.0,2,1
9,43.0,7,1,1,-88,2,313.0,1,1
10,39.0,7,1,2,9374,2,273.0,1,1
11,43.0,0,1,2,264,2,113.0,2,1
12,36.0,9,1,3,1109,1,-328.0,2,1
13,20.0,8,2,2,502,1,261.0,1,2
14,31.0,1,1,2,360,2,89.0,1,1
15,40.0,4,1,3,194,1,189.0,2,1
16,56.0,9,1,2,4073,1,239.0,5,1
17,37.0,0,2,3,2317,2,114.0,1,1
19,31.0,7,1,2,132,1,148.0,1,1
20,38.0,4,3,4,0,2,-96.0,2,1
21,42.0,4,3,3,16,1,140.0,3,1
22,44.0,7,2,2,106,1,109.0,2,1
23,44.0,2,1,2,93,1,125.0,2,1
24,26.0,3,1,3,543,1,169.0,3,1
25,41.0,4,1,3,5883,1,182.0,2,1
26,55.0,1,1,1,627,2,247.0,1,1
27,67.0,5,1,4,696,1,119.0,1,1
28,56.0,6,1,2,784,1,149.0,2,1
29,53.0,0,1,2,105,1,74.0,2,1
30,68.0,5,3,2,4189,1,897.0,2,2
31,31.0,9,1,2,171,1,81.0,3,1
32,59.0,4,1,2,42,1,40.0,1,1
33,32.0,4,2,3,2536,2,958.0,6,2
34,49.0,9,1,3,1235,1,354.0,3,2
35,42.0,0,3,2,1811,2,150.0,1,1
36,78.0,5,3,1,229,1,97.0,1,2
37,32.0,1,1,2,2089,2,132.0,1,2
38,0.0,4,1,2,3935,2,765.0,1,2
39,23.0,7,2,3,363,2,16.0,18,1
40,38.0,4,2,3,11971,2,609.0,2,1
41,36.0,4,2,3,553,1,106.0,2,1
42,52.0,1,1,2,1117,2,365.0,1,1
43,32.0,9,1,3,396,2,205.0,3,1
44,32.0,9,2,3,2204,2,11.0,4,1
45,34.0,4,2,3,872,2,105.0,2,1
46,55.0,1,1,1,145,1,59.0,3,1
47,26.0,1,1,1,0,2,425.0,1,1
48,32.0,2,2,1,-849,2,204.0,1,1
50,45.0,1,3,1,844,1,1018.0,3,2
51,37.0,9,2,2,228,2,1740.0,2,1
52,38.0,9,2,2,50,1,98.0,2,1
53,34.0,9,1,3,1539,2,441.0,1,2
54,53.0,1,1,2,2231,2,272.0,3,1
55,48.0,0,1,2,3064,2,159.0,2,1
56,57.0,4,1,2,82,1,140.0,1,1
57,33.0,6,2,3,2155,1,295.0,1,1
58,36.0,5,2,2,101,2,314.0,1,1
60,41.0,1,1,1,-516,1,554.0,3,1
61,63.0,5,1,2,415,2,323.0,1,1
62,48.0,4,1,3,5887,1,227.0,2,1
63,48.0,7,1,2,1355,1,134.0,2,1
64,56.0,0,1,2,16873,1,223.0,1,1
65,51.0,1,3,2,203,2,134.0,1,1
66,31.0,7,1,2,338,2,155.0,1,1
67,29.0,9,1,2,444,2,130.0,4,1
68,41.0,4,1,2,0,1,630.0,3,1
69,32.0,9,2,3,360,1,164.0,2,1
70,37.0,4,1,3,0,1,268.0,2,2
71,42.0,2,3,3,2,2,380.0,1,1
72,31.0,4,2,3,6248,2,154.0,2,1
73,41.0,7,1,3,412,2,154.0,5,1
74,56.0,5,1,2,344,2,221.0,1,1
75,54.0,4,3,3,3222,1,67.0,2,1
76,41.0,1,3,2,174,2,367.0,2,1
77,40.0,9,2,2,591,1,87.0,6,1
78,50.0,1,3,1,388,1,701.0,1,1
79,40.0,10,1,2,219,2,204.0,2,1
80,27.0,0,3,2,451,2,652.0,1,2
81,60.0,5,1,1,5,1,63.0,2,1
82,28.0,0,2,2,177,2,150.0,1,1
83,52.0,7,1,2,657,1,398.0,2,2
84,37.0,4,1,3,1315,1,224.0,1,2
85,51.0,1,1,1,1466,2,406.0,2,1
86,41.0,9,2,2,879,1,60.0,4,1
87,35.0,1,2,1,293,2,521.0,2,1
88,38.0,0,1,2,424,2,279.0,1,1
89,34.0,1,1,2,1831,2,203.0,2,1
90,39.0,1,1,1,111,1,201.0,2,1
92,27.0,7,2,2,-195,2,391.0,1,2
93,32.0,4,2,3,3616,1,165.0,2,1
94,57.0,1,1,2,14093,1,231.0,5,1
95,41.0,11,2,3,1567,1,291.0,2,1
96,41.0,0,1,3,5426,2,149.0,2,1
97,30.0,0,2,3,261,1,233.0,1,1
98,36.0,1,3,2,2843,1,473.0,1,1
99,31.0,10,2,1,406,1,736.0,1,2
100,36.0,1,1,2,0,2,337.0,1,1
101,38.0,4,2,3,493,2,553.0,1,1
